id,gmepId
0,1
1,4
2,4
3,4
4,4
5,3
6,3
7,2
8,2
9,5
10,5
11,5
12,6
13,6
14,6
15,8
16,9
17,10
18,11
19,11
20,11
21,11
22,11
23,14
24,13
25,13
26,16
27,15
28,17
29,15
30,17
31,18
32,21
33,19
34,20
35,37
36,36
37,36
38,35
39,35
40,35
41,26
42,26
43,26
44,26
45,26
46,26
47,32
48,34
49,31
50,33
51,29
52,29
53,29
54,29
55,29
56,28
57,28
58,28
59,28
60,27
61,27
62,27
63,27
64,30
65,30
66,30
67,30
68,35
69,35
70,35
71,24
72,22
73,22
74,24
75,25
76,23
77,23
78,25
79,24
80,25
81,25
82,24
83,38
84,39
85,39
86,39
87,40
88,40
89,40
90,40
91,40
92,39
93,41
94,41
95,41
96,41
97,41
98,41
99,42
100,42
101,42
102,42
103,42
104,42
105,42
106,42
107,42
108,42
109,42
110,43
111,45
112,45
113,44
114,45
115,45
116,46
117,39
118,47
119,48
120,48
121,48
122,49
123,50
124,49
125,50
126,49
127,51
128,53
129,53
130,53
131,52
132,54
133,55
134,57
135,57
136,57
137,56
138,59
139,58
140,58
141,58
142,59
143,60
144,60
145,61
146,61
147,61
148,62
149,69
150,73
151,80
152,71
153,71
154,86
155,86
156,79
157,72
158,88
159,87
160,75
161,75
162,81
163,75
164,75
165,70
166,68
167,74
168,78
169,67
170,85
171,74
172,74
173,83
174,75
175,68
176,83
177,82
178,74
179,78
180,68
181,82
182,77
183,75
184,84
185,66
186,66
187,84
188,63
189,64
190,65
191,68
192,70
193,66
194,70
195,75
196,78
197,76
198,81
199,82
200,78
201,81
202,91
203,89
204,90
205,90
206,90
207,90
208,93
209,94
210,96
211,97
212,96
213,97
214,107
215,108
216,106
217,109
218,98
219,99
220,99
221,99
222,100
223,101
224,102
225,103
226,104
227,104
228,105
229,110
230,111
231,112
232,112
233,113
234,114
235,115
236,116
237,117
238,118
239,119
240,120
241,120
242,120
243,120
244,120
245,121
246,122
247,122
248,122
249,122
250,122
251,123
252,124
253,125
254,126
255,127
256,128
257,129
258,130
259,131
260,132
261,133
262,134
263,135
264,136
265,137
266,138
267,139
268,140
269,141
270,142
271,143
272,143
273,144
274,146
275,146
276,147
277,148
278,149
279,150
280,150
281,151
282,152
283,153
284,154
285,155
286,156
287,157
288,158
289,159
290,160
291,161
292,162
293,163
294,163
295,163
296,164
297,165
298,166
299,167
300,168
301,168
302,168
303,169
304,170
305,171
306,172
307,173
308,174
309,174
310,174
311,174
312,174
313,175
314,176
315,177
316,177
317,177
318,177
319,178
320,179
321,180
322,181
323,181
324,182
325,183
326,183
327,183
328,183
329,184
330,185
331,186
332,187
333,188
334,189
335,190
336,190
337,190
338,190
339,190
340,190
341,191
342,192
343,193
344,194
345,195
346,196
347,197
